"","X","Region","Country","Code","Sex","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Income2019"
"109","1483","Latin America & Caribbean","Ecuador","ECU","Female","4.98","5.86","4.95","4.27","3.81","3.65","4.13","4.5","5.81","4.9","4.38","4.58","7.32","4696.380706"
"110","1484","Latin America & Caribbean","Ecuador","ECU","Male","3.2","3.77","3.52","2.93","2.85","2.7","3.06","3.01","3.7","3.05","2.92","3.25","5.27","4696.380706"
"111","1509","Middle East & North Africa","Egypt, Arab Rep.","EGY","Female","18.88","22.38","22.11","22.44","24.01","24.17","24","24.81","23.58","23.01","21.34","21.61"," ","2615.172607"
"112","1510","Middle East & North Africa","Egypt, Arab Rep.","EGY","Male","5.53","5.04","4.77","8.77","9.23","9.8","9.73","9.39","8.84","8.22","6.77","4.83"," ","2615.172607"
"113","1535","Latin America & Caribbean","El Salvador","SLV","Female","3.63","4.93","4.16","3.41","3.3","3.33","3.14","3.47","3.85","4","3.75","4.38"," ","3398.076488"
"114","1536","Latin America & Caribbean","El Salvador","SLV","Male","7.46","9.03","5.42","4.92","4.23","3.96","4.89","4.37","4.83","4.65","4.19","4.02"," ","3398.076488"
"115","1561","Sub-Saharan Africa","Equatorial Guinea","GNQ","Female"," "," "," "," "," "," "," "," "," "," "," "," "," ","3302.105554"
"116","1562","Sub-Saharan Africa","Equatorial Guinea","GNQ","Male"," "," "," "," "," "," "," "," "," "," "," "," "," ","3302.105554"
"117","1587","Sub-Saharan Africa","Eritrea","ERI","Female"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"118","1588","Sub-Saharan Africa","Eritrea","ERI","Male"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"119","1613","Europe & Central Asia","Estonia","EST","Female","5.14","10.31","14.1","11.58","9.1","8.16","6.81","6.13","6.07","5.3","5.32","4.84","6.62","19446.01214"
"120","1614","Europe & Central Asia","Estonia","EST","Male","5.76","16.68","19.27","13.06","10.91","9.09","7.86","6.24","7.42","6.19","5.41","4.07","6.97","19446.01214"
"121","1639","Sub-Saharan Africa","Eswatini","SWZ","Female"," "," "," "," "," "," "," "," ","24.42"," "," "," "," ","2920.066136"
"122","1640","Sub-Saharan Africa","Eswatini","SWZ","Male"," "," "," "," "," "," "," "," ","21.03"," "," "," "," ","2920.066136"
"123","1665","Sub-Saharan Africa","Ethiopia","ETH","Female"," "," "," "," "," ","2.94"," "," "," "," "," "," "," ","744.1434765"
"124","1666","Sub-Saharan Africa","Ethiopia","ETH","Male"," "," "," "," "," ","1.65"," "," "," "," "," "," "," ","744.1434765"
"125","1691","Europe & Central Asia","Faroe Islands","FRO","Female"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"126","1692","Europe & Central Asia","Faroe Islands","FRO","Male"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
